gitarrer,Fender CC140SCE,3400,pic01.jpeg,Akustisk gitarr med cutaway i Fenders serie Classic Design. Sidor och botten i rosewood. Topp i solid gran. Hals i mahogny. Greppbräda i rosewood.
gitarrer,Gibson Hummingbird,25000,pic03.jpeg,Akustisk modern gitarr med smalare single-cutaway kropp. Sidor och bakstycke i rosewood. Topp i sitka gran. "Advanced Response” halsprofil i mahogny.
gitarrer,Gretsch G9531,4000,pic02.png,Akustisk gitarr i Gretsch serie Roots Collection. Sidor och botten i mahogny.Topp i solid gran. Hals i mahogny samt greppbräda i rosewood.
gitarrer,Guild D-120,7400,pic12.jpg,Akustisk gitarr i dreadnought-stil med C-profil i hals. Översadel och undersadel i ben. Fishman pickup.
gitarrer,Hagström Siljan II,5200,pic04.png,Akustisk gitarr med cutaway. Sidor och botten i mahogny. Topp i solid sitkagran. Hals i mahogny och greppbräda i resinatorträ.
gitarrer,Harley Benton D-120, 780,pic11.jpg,Akustisk gitarr i dreadnought-stil. En av Harley Bentons billigare gitarrer för den mindre kräsne.
gitarrer,Ibanez AVC6,5100,pic05.jpeg,Grand Concert i Ibanez serie Artwood Vintage. Sidor och botten i mahogny. Topp i solid gran. Hals i mahogny samt greppbräda i rosewood.
gitarrer,Martin GPCX1AE,9500,pic06.jpeg,Akustisk gitarr med cutaway i Martins X-serie. Sidor och botten i HPL-laminat. Topp i sitkagran. Hals i laminerad björk och greppbräda i RichLite.
gitarrer,Maton EBG808 TE,26000,pic09.jpg,Akustisk gitarr i Matons signaturserie. Sidor och botten i Queensland Maple. Topp i solid gran. Utan cutaway. AP5 Pro pickup system.
gitarrer,Tanglewood TWCR,1600,pic10.jpg,Akustisk gitarr med sidor och botten och topp i mahogany. Färg i sunburst-stil. Tanglewood 3BT pickup system.
gitarrer,Taylor 414ce,24400,pic07.png,Helsolid Grand Auditorium med cutaway i Taylors 400-serie. Sidor och botten i ovangkol. Topp i sitkagran. Hals i mahogny samt greppbräda av ebenholts.
gitarrer,Yamaha LL6M ARE,6950,pic08.jpeg,Akustisk gitarr i Yamahas L-serie. Sidor och botten i mahogny. Topp i solid engelmann-gran behandlad med Acoustic Resonance Enchancement. Hals i mahogny/rosewood och greppbräda i rosewood.
tillbehör,Supreme NS50S notstativ,179,a_01.jpg,3-delat notställ. Gummifötter och justerbar höjd från 62 till 120cm. Vikt 1.1kg.
tillbehör,König & Meyer17580,269,a_02.jpg,Gitarrställ <HELI> för akustisk gitarr.
tillbehör,Supreme Capo,199,a_03.jpeg,Pro-Capo för elgitarr och western/stålsträngad gitarr.
tillbehör,Dunlop bottleneck,99,a_04.jpeg,Förkromad stålslide medium med medelstor sidostorlek.
tillbehör,Planet Waves GH Humidifier,99,a_05.jpeg,Luftfuktare för gitarr.
tillbehör,Shubb S1,310,a_06.jpeg,Deluxe Capo för westerngitarr.
tillbehör,Planet Waves PWTF-A,110,a_07.jpeg,A-stämgafflar med ergonomiskt utformat handtag.
tillbehör,Elixir PBL Phosphor 012-053,209,a_08.jpeg,Westergitarr Phosphor Bronze Strängset Light Nanoweb Coated .012 .016 .024 .032 .042 .053.
