Fender CC140SCE,3400,pic01.jpeg,Akustisk gitarr med cutaway i Fenders serie Classic Design. Sidor och botten i rosewood. Topp i solid gran. Hals i mahogny. Greppbräda i rosewood.
Gibson Hummingbird,25000,pic03.jpeg,Akustisk modern gitarr med smalare single-cutaway kropp. Sidor och bakstycke i rosewood. Topp i sitka gran. "Advanced Response” halsprofil i mahogny.
Gretsch G9531,4000,pic02.png,Akustisk gitarr i Gretsch serie Roots Collection. Sidor och botten i mahogny.Topp i solid gran. Hals i mahogny samt greppbräda i rosewood.
Guild D-120,7400,pic12.jpg,Akustisk gitarr i dreadnought-stil med C-profil i hals. Översadel och undersadel i ben. Fishman pickup.
Hagström Siljan II,5200,pic04.png,Akustisk gitarr med cutaway. Sidor och botten i mahogny. Topp i solid sitkagran. Hals i mahogny och greppbräda i resinatorträ.
Harley Benton D-120, 780,pic11.jpg,Akustisk gitarr i dreadnought-stil. En av Harley Bentons billigare gitarrer för den mindre kräsne.
Ibanez AVC6,5100,pic05.jpeg,Grand Concert i Ibanez serie Artwood Vintage. Sidor och botten i mahogny. Topp i solid gran. Hals i mahogny samt greppbräda i rosewood.
Martin GPCX1AE,9500,pic06.jpeg,Akustisk gitarr med cutaway i Martins X-serie. Sidor och botten i HPL-laminat. Topp i sitkagran. Hals i laminerad björk och greppbräda i RichLite.
Maton EBG808 TE,26000,pic09.jpg,Akustisk gitarr i Matons signaturserie. Sidor och botten i Queensland Maple. Topp i solid gran. Utan cutaway. AP5 Pro pickup system.
Tanglewood TWCR,1600,pic10.jpg,Akustisk gitarr med sidor och botten och topp i mahogany. Färg i sunburst-stil. Tanglewood 3BT pickup system.
Taylor 414ce,24400,pic07.png,Helsolid Grand Auditorium med cutaway i Taylors 400-serie. Sidor och botten i ovangkol. Topp i sitkagran. Hals i mahogny samt greppbräda av ebenholts.
Yamaha LL6M ARE,6950,pic08.jpeg,Akustisk gitarr i Yamahas L-serie. Sidor och botten i mahogny. Topp i solid engelmann-gran behandlad med Acoustic Resonance Enchancement. Hals i mahogny/rosewood och greppbräda i rosewood.
